Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,crypto1,general1,java1,networking1,crypto2,general2,java2,networking2,cosine_similarity,class
37520,35759,2.7,0.0,0.0,0.0,1.0,1.0,0.0,13.68,14.13,14.03,14.55,20.2,29.59,22.43,24.89,0.991,dup
37520,35653,2.25,0.0,0.0,0.0,1.0,1.0,0.0,13.68,14.13,14.03,14.55,18.83,26.94,19.49,20.33,0.989,dup
37520,35414,2.36,0.0,0.0,0.0,1.0,1.0,0.0,13.68,14.13,14.03,14.55,13.91,26.9,19.69,17.31,0.972,dup
37520,34880,1.96,0.0,0.0,0.0,1.0,1.0,0.0,13.68,14.13,14.03,14.55,11.73,24.01,18.08,20.36,0.976,dup
37427,33788,23.89,16.89,0.0,1.0,1.0,1.0,0.0,20.65,31.39,24.35,23.63,21.17,37.09,26.91,23.67,0.998,dup
37198,37197,39.97,76.95,0.0,0.0,1.0,1.0,0.0,16.82,27.68,20.95,22.88,16.82,27.68,20.95,22.88,1.0,dup
37036,29439,8.53,6.41,0.0,1.0,0.0,1.0,0.0,16.88,29.45,25.1,22.14,13.3,24.9,23.27,17.79,0.998,dup
37019,37018,28.14,85.37,0.0,0.0,1.0,1.0,0.0,15.34,19.06,15.48,18.39,15.34,19.06,15.48,18.39,1.0,dup
36996,36995,66.17,124.56,0.0,0.0,1.0,1.0,0.2,18.1,22.26,19.29,22.48,19.45,23.61,20.18,23.49,1.0,dup
36952,36829,15.51,11.85,0.0,1.0,1.0,1.0,0.0,10.28,23.51,17.76,16.03,21.83,36.29,29.71,27.7,0.995,dup
36903,34933,26.24,23.97,0.0,0.0,1.0,1.0,0.0,18.08,28.82,22.49,18.68,15.86,25.18,21.55,17.33,0.999,dup
36854,35422,10.76,0.0,0.0,1.0,1.0,1.0,0.0,13.52,19.13,15.92,16.8,23.32,32.46,27.68,26.88,0.999,dup
36854,34686,5.22,1.61,0.0,1.0,1.0,1.0,0.0,13.52,19.13,15.92,16.8,24.34,36.34,31.67,30.37,0.999,dup
36771,36362,3.76,0.69,0.0,0.0,1.0,1.0,0.2,9.6,18.15,17.01,15.57,11.04,16.51,16.05,12.8,0.995,dup
36704,34917,2.94,2.41,0.0,0.0,1.0,1.0,0.0,18.36,26.27,18.72,14.4,13.58,20.53,14.31,13.84,0.996,dup
