bug ID,crypto,general,java,networking
37644,24.1311,32.8472,21.6127,28.8307
37643,9.5718,14.766,10.0955,10.3008
37642,21.5333,26.4755,25.012,20.9626
37641,18.9079,27.0133,19.241,22.9056
37640,18.3831,24.5357,21.9766,20.3941
37639,11.8597,29.7112,21.272,20.7127
37638,25.7409,28.2509,20.8396,24.8537
37637,3.2557,9.2009,6.9805,6.9805
37636,6.224,14.0198,8.4581,10.7547
37635,4.4632,17.3857,9.5613,9.3125
37634,4.8051,12.3685,11.5222,6.3882
37633,15.5688,22.0942,18.0354,15.0658
37632,25.4894,41.7016,32.4286,34.6644
37631,15.5625,30.5207,27.974,23.6235
37630,12.9807,15.4771,15.4771,15.4771
37629,11.5124,11.4117,9.2648,11.7267
37628,20.1871,37.5908,22.531,24.8908
37627,14.9817,24.4787,17.1036,17.2767
37626,19.218,37.7263,22.5595,30.1418
37625,10.8773,13.7901,8.4027,11.859
37624,17.5012,22.4036,12.2093,16.0038
37623,16.7646,25.5197,21.6069,18.4125
37622,6.9083,15.5771,10.9449,4.1515
37621,16.0735,23.3709,11.3798,16.3188
37620,9.3333,17.5656,8.2293,10.451
37619,6.7669,9.1423,4.1928,8.6523
37618,17.4374,21.3439,15.7516,16.1607
37617,15.2977,18.2502,12.1351,18.5622
37616,15.3562,11.6465,11.8809,14.7797
37615,13.2587,21.0589,15.7671,18.4537
37614,20.1933,24.4521,19.0994,18.8109
37613,16.6469,22.9786,15.7353,18.91
37612,17.8188,23.3853,16.3626,15.916
37611,16.9884,23.3267,21.109,19.2992
37610,3.5289,8.4632,7.9892,11.4616
37609,6.0549,19.3514,11.8691,13.2699
37608,13.0961,27.1123,18.3932,20.7432
37607,24.8811,34.6328,24.957,28.3304
37606,15.2529,23.006,18.9716,17.693
37605,6.4796,12.9014,9.5992,9.7316
37604,19.316,25.213,21.1948,22.4967
37603,12.5559,13.279,12.4976,13.7819
37602,10.5138,14.6011,12.0232,9.6885
37601,15.392,20.1447,18.1317,17.3696
37600,15.1717,18.1884,19.7619,19.7619
37599,7.7675,11.3273,9.3044,9.9055
37598,11.4724,13.377,11.5297,11.5297
37597,19.8333,26.6457,26.1935,22.8222
37596,5.7272,5.7272,5.7272,5.7272
37595,10.6864,21.3352,15.8585,19.638
37594,13.9137,19.1842,15.9867,14.1787
37593,11.0035,12.4228,8.074,13.2968
37592,16.5735,17.0734,14.1009,14.9848
37591,10.1332,15.2088,9.7671,13.5475
37590,15.061,24.3583,18.564,18.3708
37589,5.9025,8.2671,8.2671,10.4209
37588,18.093,26.7547,18.8873,24.5462
