Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,class
37520,35759,2.7006,0.0,0.0,0.0,1.0,1.0,0.0,dup
37520,35653,2.2548,0.0,0.0,0.0,1.0,1.0,0.0,dup
37520,35414,2.3563,0.0,0.0,0.0,1.0,1.0,0.0,dup
37520,34880,1.9583,0.0,0.0,0.0,1.0,1.0,0.0,dup
37427,33788,23.8857,16.8862,0.0,1.0,1.0,1.0,0.0,dup
37198,37197,39.9733,76.9539,0.0,0.0,1.0,1.0,0.0,dup
37036,29439,8.5277,6.4077,0.0,1.0,0.0,1.0,0.0,dup
37019,37018,28.1408,85.3689,0.0,0.0,1.0,1.0,0.0,dup
36996,36995,66.1674,124.5555,0.0,0.0,1.0,1.0,0.2,dup
36952,36829,15.5069,11.8531,0.0,1.0,1.0,1.0,0.0,dup
36903,34933,26.2361,23.9716,0.0,0.0,1.0,1.0,0.0,dup
36854,35422,10.7591,0.0,0.0,1.0,1.0,1.0,0.0,dup
36854,34686,5.2168,1.6109,0.0,1.0,1.0,1.0,0.0,dup
36771,36362,3.7612,0.69,0.0,0.0,1.0,1.0,0.2,dup
36704,34917,2.9449,2.4088,0.0,0.0,1.0,1.0,0.0,dup
36704,16260,6.0378,6.009,0.0,0.0,1.0,1.0,0.0,dup
36704,5300,2.9449,2.4088,0.0,0.0,1.0,1.0,0.0,dup
36702,35789,1.3333,0.0,0.0,0.0,1.0,1.0,0.0,dup
36634,36072,10.7696,3.2076,0.0,1.0,1.0,1.0,0.0,dup
36634,32849,11.5631,1.332,0.0,1.0,1.0,1.0,0.0,dup
36630,36624,13.3648,6.0339,0.0,1.0,1.0,1.0,0.0,dup
36536,35171,5.3005,2.0805,0.0,1.0,1.0,1.0,0.0,dup
36521,26984,17.2531,4.8185,0.0,1.0,1.0,1.0,0.0,dup
36490,36450,22.4676,27.7578,0.0,1.0,1.0,1.0,0.0,dup
36405,34861,6.0104,2.5598,0.0,0.0,1.0,1.0,0.2,dup
36405,34306,7.5122,0.7197,0.0,0.0,1.0,1.0,0.2,dup
36390,36389,43.2794,90.1322,0.0,0.0,1.0,1.0,0.0,dup
36382,36381,24.3284,38.1966,0.0,0.0,1.0,1.0,0.0,dup
36339,34096,3.1005,0.0,0.0,1.0,1.0,1.0,0.0,dup
36204,36025,9.6615,3.4787,0.0,0.0,1.0,1.0,0.0,dup
36195,21205,8.9506,1.9425,0.0,1.0,0.0,1.0,0.0,dup
36172,35616,37.9417,38.3554,0.0,1.0,1.0,1.0,0.0,dup
36146,36145,20.0829,33.3309,0.0,0.0,1.0,1.0,0.0,dup
36143,34451,10.3561,5.7677,0.0,1.0,1.0,1.0,0.0,dup
36143,34307,5.3894,1.6016,0.0,1.0,1.0,1.0,0.0,dup
36143,33985,5.343,0.0,0.0,1.0,1.0,0.3333,0.0,dup
36141,36139,12.125,14.4793,0.0,0.0,1.0,1.0,0.0,dup
36089,35823,12.074,7.5326,0.0,0.0,1.0,1.0,0.0,dup
36089,35264,11.1865,6.9282,0.0,0.0,1.0,1.0,0.0,dup
36072,32849,10.6826,2.0563,0.0,1.0,1.0,1.0,0.0,dup
35997,35279,26.9269,26.4384,0.0,0.0,1.0,1.0,0.0,dup
35992,35506,11.4623,7.0733,0.0,1.0,1.0,1.0,0.0,dup
35992,34999,18.4893,15.8484,0.0,1.0,1.0,1.0,0.0,dup
35992,33964,6.5933,3.9372,0.0,1.0,1.0,1.0,0.0,dup
35992,33789,48.102,66.958,0.0,0.0,1.0,1.0,0.0,dup
35988,35064,7.8326,0.0,0.0,0.0,1.0,1.0,0.0,dup
35972,35971,36.2095,54.4532,0.0,0.0,1.0,1.0,0.0,dup
35944,35880,5.8765,5.6781,0.0,0.0,1.0,1.0,0.2,dup
35944,35715,9.2222,2.7932,0.0,0.0,1.0,1.0,0.0,dup
35944,35714,3.3415,2.7932,0.0,0.0,1.0,1.0,0.0,dup
35880,35715,4.5787,2.3342,0.0,0.0,1.0,1.0,0.2,dup
35880,35714,14.3447,17.695,0.0,0.0,1.0,1.0,0.2,dup
35823,35264,7.9543,3.0108,0.0,0.0,1.0,1.0,0.0,dup
35759,35653,2.163,1.1091,0.0,0.0,1.0,1.0,0.0,dup
35759,35414,10.0714,7.2611,0.0,0.0,1.0,1.0,0.0,dup
35759,34880,3.6448,1.8224,0.0,0.0,1.0,1.0,0.0,dup
35715,35714,6.5322,7.4783,0.0,0.0,1.0,1.0,0.0,dup
35653,35414,4.7933,0.0,0.0,0.0,1.0,1.0,0.0,dup
35653,34880,4.0912,2.3217,0.0,0.0,1.0,1.0,0.0,dup
35518,34890,14.9835,17.7867,0.0,1.0,0.0,1.0,0.0,dup
35506,34999,11.9369,7.6078,0.0,1.0,1.0,1.0,0.0,dup
35506,33964,6.7006,8.8165,0.0,1.0,1.0,1.0,0.0,dup
35506,33789,17.3546,31.9563,0.0,0.0,1.0,1.0,0.0,dup
35500,34170,7.6454,2.1296,0.0,1.0,1.0,1.0,0.0,dup
35499,35498,20.4113,28.5748,0.0,0.0,1.0,1.0,0.0,dup
35494,35247,16.5578,9.6599,0.0,0.0,1.0,1.0,0.6667,dup
35422,34686,4.7857,0.0,0.0,1.0,1.0,1.0,0.0,dup
35414,34880,2.6385,0.0,0.0,0.0,1.0,1.0,0.0,dup
35401,35400,37.5314,69.9002,0.0,0.0,1.0,1.0,0.0,dup
35397,35395,31.4376,51.8406,0.0,0.0,1.0,1.0,0.303,dup
35328,24326,18.9768,38.7381,0.0,1.0,1.0,1.0,0.0,dup
35280,34303,13.9144,3.9946,0.0,1.0,1.0,1.0,0.0476,dup
35234,35233,18.1713,52.6926,0.0,1.0,1.0,1.0,0.0,dup
35107,34858,3.5095,0.5194,0.0,1.0,0.0,1.0,0.0,dup
35099,34696,12.9214,3.9744,0.0,1.0,1.0,1.0,0.0,dup
35099,34630,10.6233,3.9619,0.0,1.0,1.0,1.0,0.0,dup
35040,34989,6.9036,0.0,0.0,0.0,1.0,1.0,0.0,dup
35040,28300,6.3221,0.0,0.0,0.0,1.0,1.0,0.0,dup
35040,21000,6.3691,0.0,0.0,0.0,1.0,1.0,0.0,dup
35040,8375,5.6322,0.0,0.0,0.0,1.0,1.0,0.0,dup
34999,33964,5.3428,5.9143,0.0,1.0,1.0,1.0,0.0,dup
34999,33789,36.9759,53.4288,0.0,0.0,1.0,1.0,0.0,dup
34989,28300,5.232,0.0,0.0,0.0,1.0,1.0,0.0,dup
34989,21000,2.0126,0.0,0.0,0.0,1.0,1.0,0.0,dup
34989,8375,4.2943,0.0,0.0,0.0,1.0,1.0,0.0,dup
34955,32562,1.367,0.0,0.0,0.0,0.0,1.0,0.0,dup
34955,32529,0.3855,0.0,0.0,0.0,1.0,1.0,0.0,dup
34955,28870,18.7858,25.3164,0.0,0.0,1.0,1.0,0.0,dup
34955,28455,6.321,4.5125,0.0,0.0,0.0,1.0,0.0,dup
34955,28353,2.1041,0.0,0.0,0.0,1.0,1.0,0.0,dup
34955,28063,1.6192,0.0,0.0,0.0,1.0,1.0,0.0,dup
34955,27661,1.864,0.0,0.0,0.0,0.0,1.0,0.0,dup
34955,26991,0.1407,0.0,0.0,0.0,1.0,1.0,0.0,dup
34955,26512,1.8337,0.0,0.0,0.0,1.0,1.0,0.0,dup
34955,25993,18.7858,25.3164,0.0,0.0,1.0,1.0,0.0,dup
34955,25456,1.6118,0.0,0.0,0.0,0.0,1.0,0.0,dup
34955,25270,1.6192,0.0,0.0,0.0,0.0,1.0,0.0,dup
