bugid,c1,c2,c3,c4,c5,c6
37644,4.8008,1.6917,2.6214,2.5598,1.5987,4.0138
37643,4.4328,1.5276,0.0,1.0218,1.5284,0.7708
37642,4.8947,0.0,0.2587,1.1167,0.7955,2.4922
37641,1.8669,0.0,1.8044,2.6498,1.1333,4.0988
37640,3.2434,1.539,1.31,2.849,2.8307,9.0615
37639,1.3677,1.3178,2.7507,2.6739,2.2901,7.3421
37638,3.4943,0.0,5.4763,6.0275,1.1193,5.9526
37637,0.0,0.0,1.5157,0.0,0.0,1.7783
37636,3.8598,0.0,0.0,4.2712,0.0,0.9648
37635,1.8789,1.8789,2.5817,3.0623,1.1805,6.1652
37634,2.2666,0.0,1.1897,2.1044,0.0,2.5066
37633,1.3599,1.7542,3.1253,4.1652,1.6418,4.1652
37632,2.2834,0.951,4.809,2.1241,2.1207,6.4299
37631,0.3522,1.0229,2.7953,2.4498,0.5486,5.7731
37630,1.0242,0.0,0.9905,0.0,0.0,1.5965
37629,0.9189,0.0,3.8644,2.5728,0.695,0.9189
37628,6.3361,0.0,4.1664,1.2489,2.0109,3.5826
37627,2.2769,0.0,4.0202,1.4738,1.2472,5.6654
37626,4.2558,1.7499,3.5604,7.0741,0.0,9.5465
37625,1.8494,0.0,1.0449,1.0449,0.0,2.8943
37624,3.2901,0.0,1.418,0.7436,0.7903,2.8809
37623,1.1665,1.019,0.8278,1.6189,0.0,2.8838
37622,4.4102,0.0,0.0,2.6832,2.6832,8.7025
37621,1.8212,1.5657,3.2747,3.8626,0.0,7.6646
37620,2.7973,0.0,4.3391,0.6789,2.9696,4.3391
37619,3.9547,0.0,1.06,4.416,1.06,0.0
37618,2.1674,2.5122,0.0,1.5309,0.4553,2.2953
37617,2.2077,0.0,0.8534,0.8394,0.0,2.0181
37616,0.6889,0.8019,0.6889,0.8019,0.0,3.8873
37615,5.2324,0.6646,3.5308,2.6911,1.8639,3.3664
37614,2.5408,0.8618,1.5088,1.7526,1.0031,3.2036
37613,3.3358,0.6705,3.5139,2.6672,1.9452,5.6591
37612,2.5772,2.1175,3.2158,4.8241,3.1358,6.6275
37611,5.9342,0.2464,1.0937,0.0,0.5696,5.1803
37610,0.0,0.0,2.1996,0.0,0.7281,3.9953
37609,5.3586,0.0,3.1216,6.4182,3.2164,2.1089
37608,3.4267,0.4545,1.7146,1.6231,0.9841,1.9411
37607,4.9545,1.623,2.7311,4.7763,0.7451,5.2668
37606,5.061,2.2507,1.0189,2.6383,2.496,4.1339
37605,1.8293,0.2426,1.6047,0.9405,0.0,2.2456
37604,5.9275,1.6432,4.1216,3.5099,0.9865,6.8253
