id,c1,c2,c3,c4,c5,c6
537438,10.3336,4.0689,1.4679,3.2249,3.5507,1.2006
548566,5.9937,6.8964,0.6532,5.7672,1.8741,1.4202
548569,3.5348,1.7618,2.8945,0.0,1.5406,0.0
548570,7.2331,1.9915,1.0543,1.9964,1.312,0.5171
548571,4.4638,2.9938,2.5466,2.7716,1.9278,0.0
548572,1.0059,2.9669,2.556,2.7323,0.0,0.0
548574,2.4659,0.7822,0.0,0.9583,1.1365,0.2116
538546,0.9813,1.5541,4.2506,0.2944,0.9425,0.0
548580,6.3971,7.3717,1.2815,3.4844,8.1634,2.1678
548582,0.6365,0.6365,0.0,0.6365,0.0,0.5278
548583,4.8645,4.6845,2.0911,2.9418,3.4882,2.0953
548584,3.5365,2.8491,0.5164,2.4041,0.4125,0.0
548585,1.6469,1.3689,4.6558,1.483,0.8026,0.5565
548586,1.5135,4.2019,0.9814,2.3615,1.7564,2.7797
548587,2.8183,2.5507,1.3294,1.4051,4.3996,0.0
548588,7.7254,0.591,1.9776,2.0099,4.1877,0.0
538547,7.5933,4.0856,1.1104,2.7698,2.4279,0.3748
548589,8.0899,3.8146,0.0,5.2624,1.1118,0.0
548590,1.8626,0.4793,1.1055,1.4116,0.0,0.0
548591,5.5258,0.7253,0.5498,0.5159,0.0,0.0
548592,4.0567,4.5742,0.7212,0.0,0.7975,0.0
548595,1.9014,1.8998,0.0,0.0,1.0619,1.0619
548596,0.8469,4.1322,0.0,1.6591,0.6316,0.0
548597,2.6742,4.8065,0.0,3.1767,3.3334,2.8166
548598,3.1169,0.6501,1.1599,0.4245,1.7369,0.0
548599,6.1035,1.5852,2.1961,3.238,1.8889,1.0896
548600,4.3307,1.9702,0.0,1.9699,1.932,1.0902
538548,3.8294,6.001,0.5982,0.5982,6.627,1.0629
548601,3.6792,3.986,0.0,0.0,2.9409,1.3198
548602,2.4461,3.3902,0.0,0.0,2.4629,0.0
548603,2.0602,2.6037,0.0,1.4768,0.0,0.0
548604,5.3384,1.7655,1.4021,4.6506,2.9989,0.1889
548605,4.819,4.107,1.797,4.107,2.8697,1.9193
548607,1.8271,1.4597,1.3041,1.1639,0.742,0.0
548608,2.3507,2.725,0.0,0.0,0.5636,0.0
548609,7.4293,3.5387,0.0,5.7443,1.6019,2.9856
548611,5.8115,3.9407,0.0,1.5362,2.1411,0.0
548612,7.5021,6.3712,1.113,2.4759,2.7219,1.5513
548613,7.6066,4.085,0.0,0.0,2.7295,2.6742
548614,1.789,0.964,0.0,0.0,0.0,0.0
548615,5.7301,1.5602,0.0,3.7331,2.6683,0.0
548618,0.0,0.0,0.0,0.0,0.0,0.0
548620,4.7955,3.6604,0.0,2.2499,3.2033,0.0
548621,1.7806,3.5723,2.0941,0.0,0.0,0.0
538550,3.4456,1.0243,0.9976,1.065,3.5893,0.0
548623,6.2515,2.9605,0.8967,1.6258,1.4877,2.3011
548624,4.2746,5.2105,0.0,2.0884,3.78,0.0
548625,11.8764,6.6038,0.0,5.466,3.4196,0.6672
548626,7.3008,3.278,0.0,1.7251,2.2501,2.8291
548627,0.8511,1.5741,0.0,4.1501,0.4081,0.0
548628,5.6087,5.3789,1.2892,6.1204,0.0,1.7539
