id,c1,c2,c3,c4,c5,c6
84934,0.8571,0.3475,6.078,3.9167,3.8132,1.89
94985,0.4352,6.773,4.6831,2.16,2.7085,0.8598
94986,0.551,0.0,0.0,0.0,0.0,0.0
94987,1.4904,8.6144,4.5224,0.8598,2.1447,3.0577
94988,0.9383,1.387,4.7035,0.5736,0.0,1.6294
94989,0.0,2.4472,5.0884,0.0,1.031,4.2469
94990,0.0,2.7386,5.6048,0.0,0.0,1.2455
94991,0.0,3.4568,3.838,0.6648,1.4362,2.0329
94992,1.551,1.752,3.9623,0.779,1.7772,3.0151
94993,0.5401,2.4043,5.8981,1.6396,3.6471,4.4074
94994,0.2874,2.9397,6.0102,0.0,1.9928,1.576
85940,1.0737,2.8866,2.8844,0.0,0.0,1.785
94995,0.0,2.0238,3.9438,0.0,0.0,3.7501
94996,2.0671,4.7503,4.9121,0.0,2.7237,3.2494
94997,1.4344,0.0,2.9776,0.0,0.9711,1.1441
94999,0.8802,3.5657,3.7483,0.0,0.9043,1.8748
95000,3.7307,4.9641,6.8686,1.3702,2.2534,5.9974
95001,0.0,0.0,1.7555,1.1059,1.8105,0.0
95002,0.6823,6.0408,9.151,0.0,1.3516,4.6799
95003,0.4134,2.1195,0.0,0.0,1.3434,0.0
95004,1.1827,2.7,5.068,0.0,0.0,3.0966
85941,1.1781,2.0302,4.8888,1.3491,1.3491,3.1931
95006,1.343,0.824,5.092,0.0,0.8445,2.7375
95007,0.0,0.613,3.7205,0.0,2.2063,1.2736
95008,1.26,1.8858,3.9198,1.26,2.8712,3.9203
95009,2.1335,7.3142,7.6399,0.5466,3.868,1.9555
95010,0.5957,3.0283,3.2745,1.6788,5.4856,0.9952
95011,0.0,3.285,2.1034,1.8175,1.8818,1.7639
95012,1.1051,4.6349,4.0286,0.0,1.1051,0.0
95013,0.4027,5.7437,4.3513,0.0,1.2489,1.2489
95014,2.7219,2.0482,4.939,2.1023,4.5476,6.5343
85942,0.7934,3.9079,8.7725,1.3869,2.6273,2.9399
95016,0.5289,2.2126,5.3931,0.6203,0.6203,2.7478
95017,4.6574,4.5141,2.685,3.6309,5.2045,5.1507
95018,0.0,2.1745,3.455,0.0,1.2108,1.2108
95019,0.0,3.2273,3.1682,0.0,0.0,0.7786
95020,0.3744,0.9194,2.4714,1.4671,0.0,1.4671
95021,0.2685,3.0298,5.4419,0.3742,1.3181,3.598
95022,0.3274,1.6193,5.9067,2.0192,1.1482,1.6129
95023,1.1789,2.0822,1.9147,2.0922,1.6567,2.0491
95024,1.1973,1.8436,2.7959,0.0,0.0,2.7959
85943,0.4433,4.2937,2.5008,1.6236,2.5008,1.7929
95025,1.2595,0.8981,3.1893,2.3819,1.4845,1.8715
95026,1.1174,4.7844,3.9389,0.615,1.1545,3.0934
95027,0.3816,0.0,3.644,0.0,3.164,1.9841
95028,0.4475,0.0,1.7567,0.0,1.3007,2.423
95029,0.0,6.0244,6.3414,0.7724,2.9125,2.3433
95030,0.2565,5.2097,6.6863,2.0887,3.5772,3.9583
95031,0.3608,1.8516,5.1666,0.0,1.0483,0.0
95032,1.4688,1.7635,2.8961,0.9083,1.3274,1.4688
95033,1.0513,4.697,2.8524,1.9711,0.5999,1.2592
95034,0.0,0.6849,7.0247,0.0,3.8088,0.6208
85944,1.3345,3.5878,5.5874,0.0,0.9995,2.937
95035,3.8998,4.3207,5.0742,0.0,2.064,3.6963
95036,1.5782,1.6019,4.8358,0.6575,1.199,2.2066
95037,1.1889,6.4202,11.4122,1.6989,3.8816,1.1362
95038,2.9639,6.4341,9.7109,2.102,7.2663,5.8884
95039,0.3098,4.0098,8.3458,1.9003,2.5338,0.4294
95040,1.0481,4.5712,10.6903,0.0,4.5506,3.7648
95041,0.0,3.7339,2.7714,0.9967,3.0879,1.0024
95042,0.0,6.3511,11.7398,1.0498,2.7754,2.9451
95043,1.141,3.1391,4.6047,1.101,3.9916,4.1323
95044,1.9411,2.6906,4.2021,1.1105,2.9705,1.6686
85945,0.8482,0.8482,0.9865,0.0,1.0124,0.8482
