id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
84934,0.0,0.0,0.0,0.0,0.0,0.7305,0.0,0.0,0.0,0.0,0.3475,0.0,3.3719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94985,0.7947,1.6276,0.3347,0.3347,0.3347,2.6575,0.3347,0.0,0.8117,0.3347,0.3347,0.3347,0.0,1.9845,0.3347,0.3347,0.3347,1.2929,0.3347,0.3347
94986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1394,0.0,0.0,0.0,0.0,0.0,0.0
94987,3.617,0.4277,0.0,0.0,0.1138,0.5282,0.0,2.1905,0.0,1.3214,0.1138,0.8659,0.0,0.0,0.1138,0.0,0.0,1.285,0.8675,0.0
94988,0.5145,0.3416,0.0,0.0,0.2388,0.0,0.3416,0.0,0.0,2.0828,0.2388,1.5869,1.7136,0.0,0.2388,0.0,0.3416,0.0,0.0,0.0
94989,2.4243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6375,1.0315,0.0,1.2429,0.0,0.0,0.0,0.0,0.0
94990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9014,1.4875,0.0,0.0,0.0,2.1594,0.0,0.0,0.0,0.0,0.0,0.0
94991,0.7014,0.9771,0.0,0.0,0.0,0.7714,0.9771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0887,0.0,0.0,0.0
94992,0.0,0.0,0.0,0.0,0.0,0.7373,0.0,0.0,0.0,0.0,0.0,1.0411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94993,0.0,0.0,0.0,5.0515,0.8271,1.4007,0.49,0.3282,0.0,0.0,0.3371,0.0,0.0,0.0,0.3371,0.0,0.0,0.0,0.962,0.0
94994,2.2565,0.0,0.0,0.0,0.0,1.4993,0.0,0.0,1.1672,0.0,0.0,0.0,2.4235,0.0,0.0,1.6872,0.0,3.8257,0.0,0.0
85940,1.2203,0.0,0.0,0.0,1.1071,1.1071,0.0,0.0,1.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7032,0.0,0.0
94995,0.0,0.0,2.0792,0.0,0.7088,1.1557,0.7088,0.0,0.0,2.0792,0.0,0.0,1.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94996,1.7189,0.0,0.0,0.0,0.0,1.3379,0.0,0.0,0.0,0.9745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1.129
94997,0.0,0.0,0.0,0.0,0.0,0.9711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1444,0.0,0.0,0.896,0.0,0.0
94999,1.5156,0.0,0.0,1.3582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95000,0.7179,0.0,0.0,0.0,0.0,0.662,0.0,0.0,2.0672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7179,0.0,0.0
95001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
